School Name ,Url,Master Program,,,,,,,,,,,,,,,,,,,
Northwestern University  ,http://www.mccormick.northwestern.edu/eecs/academics/graduate/index.html,Computer Science,,,,,,,,,,,,,,,,,,,
Ohio State University  ,https://cse.osu.edu/current-students/master-science-program  http://gpadmissions.osu.edu/programs/program.aspx?prog=0052,Computer Science,ECE: https://ece.osu.edu/master-science-degree-requirements & http://gpadmissions.osu.edu/programs/program.aspx?prog=0062,,,,,,,,,,,,,,,,,,
"Rutgers, The State University of New Jersey-New Brunswick  ",http://www.cs.rutgers.edu/graduate/ms_program.html,Computer Science,ECE: http://www.ece.rutgers.edu/degree_options,,,,,,,,,,,,,,,,,,
UC Davis,http://www.cs.ucdavis.edu/graduate/masters/  https://gradstudies.ucdavis.edu/programs/gcsi,Computer Science,ECE: https://www.ece.ucdavis.edu/academics/graduate/  & https://gradstudies.ucdavis.edu/programs/geec,,,,,,,,,,,,,,,,,,
UC Santa Barbara  ,http://www.cs.ucsb.edu/education/grad/masters-degree,Computer Science,ECE: http://www.ece.ucsb.edu/academics/grad/ms/,,,,,,,,,,,,,,,,,,
University of Chicago  ,https://csmasters.uchicago.edu/,Computer Science,,,,,,,,,,,,,,,,,,,
Dartmouth College  ,http://web.cs.dartmouth.edu/graduate-program,Computer Science,,,,,,,,,,,,,,,,,,,
Stony Brook University-SUNY,https://www.cs.stonybrook.edu/  https://www.grad.stonybrook.edu/brochure/computer_masters/,Computer Science,ECE_http://www.stonybrook.edu/commcms/electrical/ & https://www.grad.stonybrook.edu/brochure/electrical/   ,,,,,,,,,,,,,,,,,,
Texas A&M University-College Station  ,http://engineering.tamu.edu/cse,Computer Science,ECE: http://engineering.tamu.edu/electrical,,,,,,,,,,,,,,,,,,
University of Arizona  ,http://grad.arizona.edu/programs/,Computer Science,ECE: http://ece.arizona.edu/,,,,,,,,,,,,,,,,,,
University of Colorado-Boulder,http://www.colorado.edu/cs/,Computer Science,ECE: https://ecee.colorado.edu/,,,,,,,,,,,,,,,,,,
University of Utah,http://www.cs.utah.edu/,Computer Science,ECE: http://www.ece.utah.edu/,,,,,,,,,,,,,,,,,,
Virginia Tech  ,http://graduateschool.vt.edu/graduate_catalog/programs.htm,Computer Science,ECE: https://www.ece.vt.edu/,,,,,,,,,,,,,,,,,,
Washington University in St. Louis,http://cse.wustl.edu/Pages/default.aspx,CSE,,,,,,,,,,,,,,,,,,,
Arizona State University  ,http://explore.engineering.asu.edu/graduate-degrees/  https://webapp4.asu.edu/programs/t5/programs/Keyword/computer/graduate/false,CIDSE: http://cidse.engineering.asu.edu/,ECEE: http://ecee.engineering.asu.edu/,,,,,,,,,,,,,,,,,,
Boston University  ,http://www.bu.edu/academics/degree-programs/,CS: http://www.bu.edu/cs/,ECE: http://www.bu.edu/ece/,,,,,,,,,,,,,,,,,,
North Carolina State University,http://www.csc.ncsu.edu/,CSC,ECE: http://www.ece.ncsu.edu/,,,,,,,,,,,,,,,,,,
University of Florida,https://www.cise.ufl.edu/academics/grad/masters,M.S. in Computer Engineering,M.E. in Computer Engineering,M.S. in Computer Science,M.S. in Digital Arts and Sciences,M.S. in Computer Science,EDGE Program Home,CISE Department EDGE Brochure,,,,,,,,,,,,,
Indiana University-Bloomington ,http://www.cs.indiana.edu/graduate/degrees.html,M.S. in Bioinformatics,M.S. in Computer Science,M.S. in Data Science,M.S. in Security Informatics,,,,,,,,,,,,,,,,
Rensselaer Polytechnic Institute ,https://www.cs.rpi.edu/academics/grad.html,M.S. in Computer Science specializing in Robotics,M.S. in Computer Science specializing in Computational Science and Engineering,,,,,,,,,,,,,,,,,,
University of Pittsburgh,http://www.asgraduate.pitt.edu/departments-programs,Computer Science,Computer Engineering ,Intelligent Systems Program,,,,,,,,,,,,,,,,,
University of Rochester,https://www.cs.rochester.edu/graduate/masters-program.html,Computer Science,,,,,,,,,,,,,,,,,,,
Michigan State University,http://www.cse.msu.edu/Students/Current_Grad/GradHandbook.php,Software Systems,Intelligent Systems,Networking and Ubiquitous Computing,Biological Computing,,,,,,,,,,,,,,,,
University of California-Riverside ,http://www1.cs.ucr.edu/education/graduate/program/,Computer Science,,,,,,,,,,,,,,,,,,,
University of California-Santa Cruz ,https://www.soe.ucsc.edu/home,Games and Playable Media,Networks,Robotics,Computer System Design ,Sensing and Interaction,CS,,,,,,,,,,,,,,
Vanderbilt University,http://engineering.vanderbilt.edu/eecs/Graduate/Programs/MSRequirmentsCS.php,Computer Science,,,,,,,,,,,,,,,,,,,
Northeastern University,http://www.northeastern.edu/graduate/programs/#/refine?ref=side&aoi=computer-information-science&degrees=masters&options=&locations=&colleges=,Computer Science,Electrical and Computer Engineering,Game Science and Design,Computer Systems Engineering,Electrical and Computer Engineering,,,,,,,,,,,,,,,
University of Illinois-Chicago,http://catalog.uic.edu/gcat/colleges-schools/engineering/cs/ms/,Computer Science,Electrical and Computer Engineering ,,,,,,,,,,,,,,,,,,
University of Notre Dame ,http://cse.nd.edu/join-us/graduate,Computer Science and Engineering,Concentration in Big Data Analytics,Concentration in Bioinformatics,,,,,,,,,,,,,,,,,
Iowa State University,http://www.grad-college.iastate.edu/academics/programs/apprograms.php,Computer Science,Computer Engineering ,,,,,,,,,,,,,,,,,,
University at Buffalo-SUNY,http://www.cse.buffalo.edu/graduate/handbooks/pre-fall2007/Master_Science_Program.shtml,Computer Science,,,,,,,,,,,,,,,,,,,
University of Iowa ,https://www.cs.uiowa.edu/graduate-programs/mcs-program,Computer Science,,,,,,,,,,,,,,,,,,,
University of Oregon,https://www.cs.uoregon.edu/Education/Masters.php,Computer And Information Science,,,,,,,,,,,,,,,,,,,
George Mason University,https://cs.gmu.edu/programs/masters/,Computer Science,Information Security and Assurance,Information Systems, Software Engineering,,,,,,,,,,,,,,,,
Oregon State University ,http://eecs.oregonstate.edu/future-students/graduate,M.S in Computer Science,M.E in Computer Science,M.S in Electrical and Computer Engineering,M.E in Electrical and Computer Engineering,,,,,,,,,,,,,,,,
Syracuse University ,http://engineeringonline.syr.edu/,Computer Engineering,Computer Science,Cybersecurity,,,,,,,,,,,,,,,,,
Case Western Reserve University,https://engineering.case.edu/eecs/about/graduate-programs,"Electrical, Computer, Systems and Control Engineering Programs",Computer Science Program,Computer Science - Program in Health Informatics,,,,,,,,,,,,,,,,,
College of William and Mary ,http://www.wm.edu/as/computerscience/graduate/ms-programs/index.php,Computer Science,"Computer Science, Computational Operations Research Specialization","Computer Science, Computational Science Specialization",,,,,,,,,,,,,,,,,
Colorado State University,https://www.cs.colostate.edu/cstop/csacademics/csdegrees/csmcs.php,Computer Science,,,,,,,,,,,,,,,,,,,
Naval Postgraduate School,http://www.nps.edu/Academics/GeneralCatalog/414.htm#o418,Computer Science,Computing Technology,"Modeling, Virtual Environments, and Simulation", Software Engineering, Identity Management and Cyber Security,,,,,,,,,,,,,,,
New York University ,http://engineering.nyu.edu/academics/programs/;https://cs.nyu.edu/home/master/prospective_overview.html,Computer Science,Information Systems ,Cybersecurity,Computer Engineering,,,,,,,,,,,,,,,,
Tufts University  ,http://www.cs.tufts.edu/Master-of-Science-in-Computer-Science-Degree/,Computer Science,,,,,,,,,,,,,,,,,,,
University of Delaware,http://www.cis.udel.edu/graduate/,Master of Science in Computer Science,Master of Science in Bioinformatics and Computational Biology,,,,,,,,,,,,,,,,,,
University of Maryland-Baltimore County,http://www.csee.umbc.edu/programs/graduate/,Computer Science,Computer Engineering,Electrical Engineering,Cybersecurity,,,,,,,,,,,,,,,,
University of Nebraska-Lincoln,http://www.unl.edu/gradstudies/prospective/programs/ComputerScience,Bioinformatics,Computer Engineering,,,,,,,,,,,,,,,,,,
